[ 2026-08-19 15:50:23,232 ] 20 root - INFO - Initiate the data ingestion
[ 2026-08-19 15:50:27,775 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-08-19 15:50:27,775 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-08-19 15:50:27,776 ] 75 root - INFO - Exporting train and test file path.
[ 2026-08-19 15:50:27,867 ] 84 root - INFO - Exported train and test file path.
[ 2026-08-19 15:50:27,868 ] 22 root - INFO - Data Initiation Completed
[ 2026-08-19 15:50:27,883 ] 26 root - INFO - Initiate the data Validation
[ 2026-08-19 15:50:27,932 ] 32 root - INFO - Required number of columns:2
[ 2026-08-19 15:50:27,932 ] 33 root - INFO - Data frame has columns:31
[ 2026-08-19 15:50:27,932 ] 32 root - INFO - Required number of columns:2
[ 2026-08-19 15:50:27,932 ] 33 root - INFO - Data frame has columns:31
[ 2026-08-19 15:50:28,182 ] 28 root - INFO - data Validation Completed
[ 2026-08-19 15:50:28,182 ] 31 root - INFO - data Transformation started
[ 2026-08-19 15:50:28,183 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-08-19 15:50:28,183 ] 65 root - INFO - Starting data transformation
[ 2026-08-19 15:50:28,227 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-08-19 15:50:28,228 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-08-19 15:50:28,313 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-08-19 15:50:28,320 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-08-19 15:50:28,320 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-08-19 15:50:28,324 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-08-19 15:50:28,326 ] 35 root - INFO - data Transformation completed
[ 2026-08-19 15:50:28,326 ] 37 root - INFO - Model Training sstared
